,animation
247,"Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
248,Ryder and the pups are called to Adventure City to stop Mayor Humdinger from turning the bustling metropolis into a state of chaos.
249,"In the year 2022, thousands of people get trapped in a new virtual MMORPG and the lone wolf player, Kirito, works to escape."
250,The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.
251,"With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country."
252,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
253,"Six months after the defeat of Majin Buu, The mighty Saiyan Son Goku continues his quest on becoming stronger."
254,"Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands."
255,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.
256,The story of the legendary British outlaw portrayed with the characters as anthropomorphic animals.
257,A team of five teenaged superheroes save the world from many villains around their city while experiencing things normal teens face today.
258,"A boy grows up behind the safe walls of an apocalyptic Japan full of monsters. Tokyo flourishes as a paradise, while outside the walls of hell dangers lurk. However, a small group searches for heaven."
259,"After a teenage delinquent is killed while saving a child's life from an approaching car, the rulers of the underworld send him back to become an ""Underworld Detective"" investigating demons apparitions in the human world."
260,"The story of the Seven Deadly Sins, a group of warriors who were wrongly accused of a crime they didn't commit and went on a quest to vindicate themselves."
261,"A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer."
262,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble."
263,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
264,A little pig named Peppa and her little brother George have journeys everyday with their family and friends.
265,"Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization."
266,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."
267,"After learning that her friends, as well as herself, are the magical Elements of Harmony, studious unicorn Twilight Sparkle is sent by her mentor, Princess Celestia, to Ponyville to study the magic of friendship with help from her friends."
268,"The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
269,"Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff."
270,"In a magical world full of technological advances, elven brothers Ian and Barley Lightfoot set out on an adventure to resurrect their late father for a day."
271,"Fionna, her best friend Cake and the former Ice King, Simon Petrikov, embark on an adventure through the multiverse, dodging new threats and making self-discoveries along the way."
272,"In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan."
273,"Across different eras, a poor family, an anxious developer and a fed-up landlady become tied to the same mysterious house in this animated dark comedy."
274,A squad of prisoners and their guards are sent to investigate a mysterious island. They get stranded there and must rely on each other to survive the island's mysterious and monstrous residents.
275,"A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co."
276,"For employees of the Deep State, conspiracies aren't just theories, they're fact. And keeping them a secret is a full-time job."
277,Teenage superheroes strive to prove themselves as members of the Justice League.
278,"While spending years attempting to return home, marooned Space Ranger Buzz Lightyear encounters an army of ruthless robots commanded by Zurg who are attempting to steal his fuel source."
279,Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.
280,"An unlucky girl meets an undead guy. The two work together well with their super abilities, but discover a conspiracy involving superhumans."
281,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life."
282,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it."
283,"A group of superhuman warriors who once fought together to end the reign of a demon king, now fight each other to see who is the strongest warrior."
284,"A samurai, sent through time, fights to return home and save the world."
285,"Four ninja turtles, mutated by a mysterious alien substance, must rise up out of the sewers and defend their city against evil forces from both the past and present."
286,"A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game."
287,"The Assassin travels through a nightmare underworld of tortured souls, ruined cities and wretched monstrosities forged from the primordial horrors of the unconscious mind of Phil Tippett, the world's preeminent stop-motion animator."
288,Two brothers find themselves lost in a mysterious land and try to find their way home.
289,"After it's discovered that a teacher at South Park Elementary has an OnlyFans page, Randy is compelled to take a closer look at the seedy underbelly of the world of on-line influencers."
290,"A team of intergalactic warriors fights to protect the Earth, but the combination of three highly trained beings and one quirky young boy leaves the team struggling to overcome the dangerous scenarios that are put in front of them."
291,A cursed girl and a mysterious man join forces to hunt down an evil witch.
292,"Fascinated by the macabre, Kyotaro fantasizes about acting on his twisted thoughts to the detriment of his classmates. His heart was dark until an encounter with Anna lit a spark within it in a classic tale of boy meets girl."
293,"In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend."
294,"After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat itself."
295,"In a fantasy world, a lone hero makes his living by exterminating all goblins he encounters. But one day he meets a friend, and his life begins to become more intense."
296,"Manny, Diego, and Sid embark upon another adventure after their continent is set adrift. Using an iceberg as a ship, they encounter sea creatures and battle pirates as they explore a new world."
297,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.
298,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire."
299,"When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy."
300,"Lucy, an aspiring Celestial Wizard, becomes a friend and ally to powerful wizards Natsu, Gray, and Erza, who are part of the (in)famous wizard guild, Fairy Tail."
301,"After one experiment, Johnny turns into a monster and everyone else becomes human. Now it has to be seen whether they will be able to reverse this experiment."
302,"A Tokyo college student is attacked by a ghoul, a superpowered human who feeds on human flesh. He survives, but has become part ghoul and becomes a fugitive on the run."
303,"Barry B. Benson, a bee just graduated from college, is disillusioned at his lone career choice: making honey. On a special trip outside the hive, Barry's life is saved by Vanessa, a florist in New York City. As their relationship blossoms, he discovers humans actually eat honey and subsequently decides to sue them."
304,"The magical inhabitants of a rainforest fight to save their home, which is threatened by logging and a polluting force of destruction called Hexxus."
305,The story based off of the controversial manga by Suehiro Maruo takes place where a little orphaned girl joins a freak-show circus troupe whose members rape and abuse her. She then finds a glimmer of hope in the enigmatic magician who joins the group.
306,"Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan."
307,"When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back."
308,"Follow the adventures of Haru, a concierge at the Pokémon Resort as she interacts with the Pokémon and their visiting owners."
309,An orphaned brontosaurus teams up with other young dinosaurs in order to reunite with their families in a valley.
310,"Follow Peter Parker, Gwen Stacy, and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel, and Black Panther to take down foes like Rhino, Doc Oock, and Green Goblin."
311,"Lewis is a brilliant inventor who meets mysterious stranger named Wilbur Robinson, whisking Lewis away in a time machine and together they team up to track down Bowler Hat Guy in a showdown that ends with an unexpected twist of fate."
312,"Lincoln Loud is an eleven-year-old boy who lives with ten sisters. With the help of his right-hand man Clyde, Lincoln finds new ways to survive in such a large family every day."
313,"Traumatized by a childhood incident with a friend who took exception to his love of traditional dolls, doll-artisan hopeful Wakana Gojou passes his days as a loner, finding solace in a room at his high school."
314,"Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process."
315,Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.
316,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter Arrietty is discovered."
317,"The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck; his temperamental nephew Donald Duck; grandnephews Huey, Dewey, and Louie; Launchpad McQuack; and Mrs. Beakley and her granddaughter Webby."
318,"After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils."
319,Follows Atsushi Nakajima as he joins the Armed Detective Agency in battling the Port Mafia and other superhuman threats to public safety.
320,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and evil is taking place. She bands together with a ragtag group of characters to save their world--and ours.
321,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot."
322,Guts is haunted by demons who are attracted to him because of a demonic mark on his neck.
323,"Superhero roommates Robin, Cyborg, Starfire, Raven and Beast Boy love saving the day, but what happens when they're done fighting crime?"
324,"Ordinary teenager Marinette's life in Paris goes superhuman when she becomes Ladybug. Bestowed with magical powers of creation, Ladybug must unite with her opposite, Cat Noir, to save Paris as a new villain unleashes chaos unto the city."
325,"Two overly imaginative pranksters named George and Harold hypnotize their principal into thinking he's a ridiculously enthusiastic, incredibly dimwitted superhero named Captain Underpants."
326,"Fifteen-year-old Ben Tennyson must utilize the Omnitrix yet again in order to locate his missing Grandpa Max, accompanied by his cousin Gwen and former enemy Kevin 11."
327,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference."
328,"Set during a period of exceptionally rainy weather, high-school boy Hodaka Morishima runs away from his troubled rural home to Tokyo and befriends an orphan girl who can manipulate the weather."
329,"Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist."
330,Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.
331,"With his secret identity now revealed to the world, Ben Tennyson continues to fight evil as a superhero with the help of the newly acquired Ultimatrix."
332,"Rentt Faina is devoured by a legendary dragon and finds himself like a pile of bones. Armed with a sword, a belt and a terrifying new appearance, he begins his quest as a newly reborn skeleton to achieve Existential Evolution."
333,"Scooby-Doo and the gang attempt to solve creepy mysteries in the town of Crystal Cove, a place with a history of eerie supernatural events."
334,"Manolo, a young man who is torn between fulfilling the expectations of his family and following his heart, embarks on an adventure that spans three fantastic worlds where he must face his greatest fears."
335,A cash-strapped documentary maker decides to make his newest documentary about a mollusk shell he finds living in his Airbnb with his friends.
336,High schooler Rakuro loves beating bad games. But can he discover all the secrets hidden in a best-selling VR game?
337,"After Ferdinand, a bull with a big heart, is mistaken for a dangerous beast, he is captured and torn from his home. Determined to return to his family, he rallies a misfit team on the ultimate adventure."
338,"A glowing green orb - which embodies ultimate evil - terrorizes a young girl with an anthology of bizarre and fantastic stories of dark fantasy, eroticism and horror."
339,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
340,A doctor and his recently-deceased patient are reborn as twins to a famous Japanese musical idol and navigate the highs and lows of the Japanese entertainment industry as they grow up together through their lives.
341,"Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!"
342,A young man with spider-like abilities fights crime as a superhero in New York City while trying to have a normal personal life.
343,This series follows the adventures of Thomas the Tank Engine and all of his engine friends on the Island of Sodor.
344,Seven of the most formidable heroes form arguably the most powerful team ever.
345,Star Wars anthology series that will see some of the world's best anime creators bring their talent to this beloved universe.
346,"On a special inner city street, the inhabitants, human and muppet, teach preschool subjects with comedy, cartoons, games, and songs."
347,Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.
348,"A t-virus outbreak in San Francisco leads to Alcatraz Island, where a new evil has taken residence."
349,"When an island populated by happy, flightless birds is visited by mysterious green piggies, it's up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs are up to."
350,Horton the Elephant struggles to protect a microscopic community from his neighbors who refuse to believe it exists.
351,The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.
352,The Red Ribbon Army from Goku's past has returned with two new androids to challenge him and his friends.
353,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses."
354,"When Jack Deebs was behind bars he found escape by creating Cool World, a cartoon series featuring a vixen named Holli Would. The flesh proves weaker than ink, however, as Holli takes human form in Las Vegas."
355,"Tanjiro undergoes rigorous training with the Stone Hashira, Himejima, in his quest to become a Hashira. Meanwhile, Muzan continues to search for Nezuko and Ubuyashiki."
356,"The continuing adventures of Ben Tennyson (Yuri Lowenthal) and his new partner, Rook Blonko (Bumper Robinson)."
357,"When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her."
358,"Follows Rouge, an android girl, who is on a mission on Mars with her partner Naomi. The mission is to murder Immortal Nine, nine artificial humans who are hostile to the government."
359,A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.
360,The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.
361,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons."
362,"Banished to the mortal realm to exorcise ghosts, a deity must reckon with a demon and soon uncovers a dark secret behind the heavenly gods."
363,"A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function."
364,"29-year-old Satoru Fujinuma is sent back in time 18 years to prevent the events leading to his mother's death, which began with a series of kidnappings while he was in 5th grade."
365,A villain's maniacal plan for world domination sidetracks five teenage superheroes who dream of Hollywood stardom.
366,"The Madagascar animals fly back to New York City, but crash-land on an African nature reserve in Kenya, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride."
367,"When Scrat's acorn sends an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend."
368,"After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies."
369,"High up on a mountain peak surrounded by clouds, a secret Yeti society lives in peace and harmony. One day, a Yeti witnesses an airplane crash; Inside lies ""Smallfoot"", a legendary creature that will rock the society to its core."
370,Mutant heroes live in New York sewers and train in martial arts to protect the city from crime.
371,"It's a jungle out there for Blu, Jewel, and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel and meets his father-in-law."
372,"Star Butterfly arrives on Earth to live with the Diazes, a Mexican-American family. She continues to battle villains throughout the universe and high school, mainly to protect her extremely powerful wand, an object that still confuses her."
373,"When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother."
374,"A chaotic battle ensues between Jerry Mouse, who has taken refuge in the Royal Gate Hotel, and Tom Cat, who is hired to drive him away before the day of a big wedding arrives."
375,"The story of an uptown rat that gets flushed down the toilet from his penthouse apartment, ending in the sewers of London, where he has to learn a whole new and different way of life."
376,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).
377,"When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement."
378,"The animated series follows Peter Parker on his way to becoming Spider-Man in the MCU, with a journey unlike we've ever seen and a style that celebrates the character's early comic book roots."
379,"Continuing the story of Max and his pet friends, following their secret lives after their owners leave them for work or school each day."
380,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame."
381,"Mickey and his friends Minnie, Donald, Pluto, Daisy, Goofy, Pete, Clarabelle and more go on fun and educational adventures."
382,"A gamer is magically summoned into a parallel universe, where he is chosen as one of four heroes destined to save the world from its prophesied doom."
383,Hiccup and Toothless reunite to remind both their kinds of the inseparable bond between vikings and dragons.
384,"A girl and her robot companion search for her mother, who's lost within a vast chasm."
385,"The misadventures of a milkshake, an order of fries, a meatball, and their retired next door neighbor in the suburbs of New Jersey."
386,High school soccer players from across Japan gather for a controversial project designed to create the best and most egoistic striker in the world.
387,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.
388,"The misadventures of two modern-day Stone Age families, the Flintstones and the Rubbles."
389,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig."
390,"After Tohru is taken in by the Soma family, she learns that twelve family members transform involuntarily into animals of the Chinese zodiac and helps them deal with the emotional pain caused by the transformations."
391,The cases of a detective whose physical age was chemically reversed to that of a prepubescent boy but must hide his true mental development.
392,"When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world."
393,"After helping a cat, a seventeen-year-old girl finds herself involuntarily engaged to a cat Prince in a magical world where her only hope of freedom lies with a dapper cat statuette come to life."
394,"Manny, Sid and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny is not in fact the last of the woolly mammoths."
395,An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.
396,Average 37-year-old Minami Satoru dies and is reincarnated as the most unremarkable creature imaginable-a slime.
397,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan."
398,"Thirty years after their popular television show ended, chipmunks Chip and Dale live very different lives. When a cast member from the original series mysteriously disappears, the pair must reunite to save their friend."
399,"With demons reawakened and humanity in turmoil, a sensitive demon-boy is led into a brutal, degenerate war against evil by his mysterious friend, Ryo."
400,The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.
401,"Warworld, a place of unending brutal gladiatorial combat, Batman, Superman, Wonder Woman and others must unite to form an unbeatable resistance to lead the entire planet to freedom."
402,"After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion."
403,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
404,"After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences."
405,Simba's daughter is the key to a resolution of a bitter feud between Simba's pride and the outcast pride led by the mate of Scar.
406,Follows employees of a small company dedicated to bringing happiness to a bizarre yet colorful world.
407,The Z-Fighters set out to rescue Trunks from a prison planet.
408,"The Templeton brothers have become adults and drifted away from each other, but a new boss baby with a cutting-edge approach is about to bring them together again - and inspire a new family business."
409,"To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she suspected."
410,Mechanic Tylor Tuskmon has big dreams of working his way up the ranks to the Laugh Floor at Monsters Inc.
411,"After she very narrowly survives a serious car accident, a woman discovers that she has a new relationship with time."
412,"After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives."
413,The adventures and misfortunes of Dog and Robot in New York City during the 1980s.
414,"When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him."
415,"An office worker in a dystopian world logs onto a video game for the last time only to find out that he, along with his entire guild, has been transported to another reality."
416,"Wallace and his loyal dog, Gromit, set out to discover the mystery behind the garden sabotage that plagues their village and threatens the annual giant vegetable growing contest."
417,"Three high school students are transported to a fantasy world. But while two are heroes, one can only be a healer."
418,"The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal-control officer."
419,Mavka must choose between love and duty to protect the Heart of the Forest.
420,"When the fate of their world, Ninjago, is challenged by great threats, it's up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world."
421,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.
422,"At the end of the ice age, an evil queen and her son are set on conquering the world using magic and warriors. The lone survivor of a crushed village fights back as does the king of Fire Keep."
423,"Follows 17-year-old Ryota Miyagi, who struggles to accomplish his late elder brother's dream of becoming a basketball star."
424,"An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town."
425,"Two swindlers get their hands on a map to the fabled city of gold, El Dorado."
426,"When Yuki meets a handsome stranger who helps her out on the train, what sort of relationship will bloom? Could this be something real? Or will these feelings melt away with the snow?"
427,"In the aftermath of a great war, Violet Evergarden, a young female ex-soldier, gets a job at a writers' agency and goes on assignments to create letters that can connect people."
428,"With the heart of a warrior, a legendary swordsman wields an ancient, demonic weapon. But with every soul he takes, the more darkness consumes him."
429,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy."
430,"17-year-old Shinichi Izumi is partially infected by a Parasyte, monsters that butcher and consume humans. He must learn to co-exist with the creature if he is to survive both the life of a Parasyte and a human as part monster, part person."
431,Animated shorts that feature Jedi from the prequel era.
432,A countryside boy named Tatsumi sets out on a journey to The Capital to make a name for himself and met a seemingly dangerous group of Assassins known as Night Raid. Their journey begins.
433,"A scheming raccoon fools a mismatched family of forest creatures into helping him repay a debt of food, by invading the new suburban sprawl that popped up while they were hibernating...and learns a lesson about family himself."
434,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone."
435,"It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild."
436,"An orphan who lives with his two cruel aunts befriends anthropomorphic bugs who live inside a giant peach, and they embark on a journey to New York City."
437,"SpongeBob takes leave from Bikini Bottom in order to track down, with Patrick, King Neptune's stolen crown."
438,"In the city of Orario, where adventurers hunt monsters in a place called Dungeon, Bell Cranel's life was saved by a swordswoman, who has then become the source of Bell's determination to get stronger."
439,"While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson."
440,Elio struggles to fit in until he is transported by aliens and becomes the chosen one to be Earth's galactic ambassador while his mother Olga works on the top secret project to decode alien messages.
441,"Shunned by everyone for being the son of an evil warlord, a teenager seeks to defeat him with the help of his fellow ninjas."
442,"Under the boardwalk at the Jersey Shore, a land crab townie falls in love with a sea crab tourist, but tensions between their friends and families rise. When a storm casts the duo far from home, their love will lead them on an adventure."
443,"In 1980s Hollywood, struggling martial arts actor Johnny Cage searches for his missing co-star amidst a Los Angeles filled with bloodthirsty fighters."
444,"Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family."
445,R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.
446,A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.
447,A clan of heroic night creatures pledge to protect modern New York City as they did in Scotland one thousand years earlier.
448,"A fox named Tod and a hound named Copper vow to be best friends forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test."
449,"Craig Williams is the shy, new kid in town. Little does he know, he'll soon set off on the biggest adventure he could ever dream of: treasure maps, pirate ships, and a villain who wants to destroy the Creek."
450,Continuation of X-Men: The Animated Series (1992) .
451,"The protagonist, Baki Hanma, trains with an intense focus to become strong enough to surpass his father, Yujiro Hanma, the strongest fighter in the world."
452,Billionaire Bruce Wayne fights crime and evil as the mysterious Batman.
453,A freak accident might just help an everyday garden snail achieve his biggest dream: winning the Indy 500.
454,A captured mustang remains determined to return to his herd no matter what.
455,"Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids."
456,"A series of eight famous pieces of classical music, conducted by Leopold Stokowski and interpreted in animation by Walt Disney's team of artists."
457,"The end of Cartman's familiar, beloved life is predicted by his incredibly unsettling dreams. As the arrival of AI upends their society, the grownups in South Park are also struggling with their own personal decisions."
458,"An apprentice witch, three kids and a cynical magician conman search for the missing component to a magic spell to be used in the defense of Britain in World War II."
459,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.
460,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone has ever imagined as Hiccup, Toothless and the Dragon Riders soar to the edge of adventure."
461,Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.
462,"Storks have moved on from delivering babies to packages. But when an order for a baby appears, the best delivery stork must scramble to fix the error by delivering the baby."
463,"In a mythical land, a man and a young boy investigate a series of unusual occurrences."
464,"Three teens discover that their neighbor's house is really a living, breathing, scary monster."
465,"Two university students come across a seemingly harmless girl named Lucy, unaware that she's actually a mutant serial killer with a split personality."
466,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it."
467,"The adventurous life of Cricket Green, a country boy who moves with his family from their rural farm to a modern metropolis."
468,The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.
469,"A wet-behind-the-ears, yet good-hearted sea captain unwittingly finds himself at the helm of a smuggling ship for a terrible international cartel who's using him as a fall guy in case the authorities ever catch up to them."
470,"Follow the Murphy family back to the 1970s, when kids roamed wild, beer flowed freely and nothing came between a man and his TV."
471,"She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde."
472,"Ordinary Anne Boonchuy, 13, finds a music box that sends her to Amphibia, a world full of frogs, toads, and giant insects. With help from Sprig, she must adjust to life in Amphibia and discover the first true friendship in her life."
473,A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.
474,"Vivo, Sony Pictures Animation's first-ever musical adventure featuring all-new original songs from Lin-Manuel Miranda, will take audiences on an epic adventure to gorgeous and vibrant locations never before seen in animation."
475,The misadventures of a futuristic family.
476,Rentarô Aijô decides to date all of his soulmates after Hakari Hanazono and Karane Inda confess to him at the same time God of Love tells him that they will die if any of his soulmates fails to get into a relationship with him.
477,"A mysterious map sets Smurfette and her friends Brainy, Clumsy and Hefty on an exciting race through the Forbidden Forest, leading to the discovery of the biggest secret in Smurf history."
478,"Makoto Misumi, an ordinary teenager, is summoned to a fantasy world to be its hero. However, the goddess judges him unattractive and dismisses him from his duties."
479,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
480,"Elsa and Anna takes Olaf, Kristoff, and Sven for another adventure."
481,"Kaguya is a beautiful young woman coveted by five nobles. To try to avoid marrying a stranger she doesn't love, she sends her suitors on seemingly impossible tasks. But she will have to face her fate and punishment for her choices."
482,A superhuman firefighter force is formed to deal with supernatural fire incidents.
483,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh to deliver the troubled artist's final letter and ends up investigating his final days there."
484,"Fuelled by remorse and vengeance, a high schooler named Terry McGinnis revives the role of Batman. Under supervision of an elderly Bruce Wayne, he fights crime in a harsh, futuristic Gotham."
485,"A behind-the-scenes look at the annual Penguin World Surfing Championship, and its newest participant, up-and-comer Cody Maverick."
486,"Little Red Riding Hood, the Wolf, the Woodsman and Granny all tell the police the events that led up to their encounter."
487,"An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions."
488,"Scooby and the gang face their most challenging mystery ever: a plot to unleash the ghost dog Cerberus upon the world. As they race to stop this dogpocalypse, the gang discovers that Scooby has an epic destiny greater than anyone imagined."
489,"Inspired by an epic Chinese tale, translated into an action-packed comedy, a Monkey and his magical fighting Stick battle demons, dragons, gods and the greatest adversary of all - Monkey's ego."
490,Animated satire of survivor reality shows featuring random teenage archetypes vying for the final prize by any means necessary.
