,mystery
252,"After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer's previous victims."
253,"Aspiring fashion designer Eloise is mysteriously able to enter the 1960s, where she encounters dazzling wannabe singer Sandie. But the glamour is not as it seems, and the dreams of the past crack and splinter into something darker."
254,"A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity."
255,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
256,The adventures of an idealistic mad scientist and his field team of superpowered outcasts.
257,"Obsessed gamer Arisu suddenly finds himself in a strange, emptied-out version of Tokyo in which he and his friends must compete in dangerous games in order to survive."
258,"It follows Louise, a single mum with a son and a part-time job in a psychiatrist's office. She begins an affair with her boss and strikes up an unlikely friendship with his wife."
259,"Ben Matlock is a very expensive criminal defense attorney, who charges one hundred thousand dollars to take a case. Fortunately, he's worth every penny, as he and his associates defend his clients by finding the real killer."
260,"A contemporary prequel to Psycho, giving a portrayal of how Norman Bates' psyche unravels through his teenage years, and how deeply intricate his relationship with his mother, Norma, truly is."
261,"A married couple moving into their dream home are threatened by terrifying letters from a stalker, signed - ""The Watcher."""
262,"William falls in love with his soon-to-be daughter in law, Anna who's trying to keep both relationships but the truth always comes to light and someone is going to be hurt."
263,"A year after the murder of her mother, a teenage girl is terrorized by a masked killer who targets her and her friends by using scary movies as part of a deadly game."
264,A series of brutal murders in Boston sparks a seemingly endless and increasingly complex manhunt.
265,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
266,Fury and Talos try to stop the Skrulls who have infiltrated the highest spheres of the Marvel Universe.
267,DI Robert Lewis and DS James Hathaway solve the tough cases that the learned inhabitants of Oxford throw at them.
268,Plot under wraps
269,Elite agents of the FBI's International division travel the world with the mission of protecting Americans wherever they may be.
270,"A recently released ex-convict named Shadow meets a mysterious man who calls himself ""Wednesday"" and who knows more than he first seems to about Shadow's life and past."
271,"A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets' code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar Allan Poe."
272,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror."
273,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder."
274,"1956 - France. A priest is murdered. An evil is spreading. The sequel to the worldwide smash hit follows Sister Irene as she once again comes face-to-face with Valak, the demon nun."
275,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape."
276,A rancher fighting for his land and family discovers an unfathomable mystery at the edge of Wyoming's wilderness.
277,The night manager of a Cairo hotel is recruited to infiltrate an arms dealer's inner circle.
278,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
279,"When a high school reunion's afterparty ends in a death, everyone is a suspect. A detective grills the former classmates one by one, uncovering potential motives as each tells their version of the story - culminating in the shocking truth."
280,Follow a team of Naval criminal investigators who operate on the Hawaiian islands.
281,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
282,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money."
283,A spy recently disavowed by the U.S. government uses his special ops training to help others in trouble.
284,A woman forms an unexpected relationship with her 16-year-old stepdaughter while searching for the truth about why her husband has mysteriously disappeared.
285,"Set in an alternate history where masked vigilantes are treated as outlaws, Watchmen embraces the nostalgia of the original groundbreaking graphic novel of the same name, while attempting to break new ground of its own."
286,"After being recruited to a secretive academy, a group of students discovers that the magic they read about as children is very real--and more dangerous than they ever imagined."
287,"When the skeleton of his murdered predecessor is found, Sheriff Sam Deeds unearths many other long-buried secrets in his Texas border town."
288,"-Resplendent with authentic 1980s music, fashion, and vibe, ""Miami Vice"" follows two undercover detectives and their extended team through the mean streets of Miami, Florida."
289,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
290,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
291,"Guillaume thought he had drawn a line under the terrible tragedy which saw the two people he loved the most die. Ten years later, Judith, whose love has made his life worth living again, suddenly disappears during his mother's funeral."
292,"While vacationing, a girl and her parents are taken hostage by armed strangers who demand that the family make a choice to avert the apocalypse."
293,Follows the cases of the Miami-Dade Police Department's Crime Scene Investigation unit as they try to unveil the conditions behind mysterious deaths and crimes.
294,Forensic scientists and investigators of the New York City Police Department unveil the circumstances behind mysterious and unusual deaths.
295,"Kyle and Swin live by the orders of an Arkansas-based drug kingpin named Frog, whom they've never met. But when a deal goes horribly wrong, the consequences are deadly."
296,"Detective Inspector Mike Shepherd arrives on assignment in Brokenwood, a small town where memories - and animosities - run deep."
297,"Adventurer James Keziah Delaney returns to London during the War of 1812 to rebuild his late father's shipping empire. However, both the government and his biggest competitor want his inheritance at any cost--even murder."
298,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down."
299,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
300,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally."
301,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
302,"Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities."
303,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.
304,An elderly spinster living in the village of St. Mary Mead helps her friends and relatives solve mysterious murders.
305,"Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems."
306,"A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
307,"Follows Luke Fitzwilliam, as he finds himself on the trail of a serial killer after meeting Miss Pinkerton on a train to London. Now Fitzwilliam has to find the killer before any more blood will be shed."
308,"A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day."
309,"When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find the killer."
310,"Follows Leaphorn and Chee, two Navajo police officers in the 1970s Southwest that are forced to challenge their own spiritual beliefs when they search for clues in a double murder case."
311,"A human detective and a fairy rekindle a dangerous affair in a Victorian fantasy world, where the city's uneasy peace collapses when a string of murders reveals an unimaginable monster."
312,Detectives from NYPD's 15th Precinct investigate homicides within their precinct.
313,"Follows an NCIS team that investigates criminal cases involving military personnel in The Big Easy, a city known for its music, entertainment, and decadence."
314,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
315,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
316,"Perched on the edge of the Arctic Circle, Fortitude is one of the safest towns on earth. There has never been a violent crime here. Until now."
317,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up."
318,The adventures of a Hawaii-based private investigator.
319,A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason.
320,"Beth's husband Tom, a village doctor, is arrested on suspicion of being a serial killer. His wife investigates with his best friend and more evidence emerges, forcing her to question if she really knows the man she married."
321,"A skeptical clinical psychologist joins a priest-in-training and a blue collar contractor as they investigate supposed abnormal events, including, demonic possession, and other extraordinary occurrences to see if there's a scientific explanation or if something truly supernatural's at work."
322,"A couple's relationship is tested when uninvited guests arrive at their home, disrupting their tranquil existence."
323,"Set in the world of beautiful but bleak Cape Cod, one woman's journey to sobriety is overshadowed by a murder investigation dragging her into its fold."
324,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
325,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
326,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
327,"A darkness swirls at the center of a world-renowned dance company, one that will engulf the artistic director, an ambitious young dancer, and a grieving psychotherapist. Some will succumb to the nightmare. Others will finally wake up."
328,"When the world's seven most advanced robots and their human allies are murdered one by one, inspector Gesicht soon discovers that he's also in danger."
329,"Sydney Bristow is an international spy recruited out of college, trained for espionage and self-defense."
330,"In 1945, immediately following the end of Second World War, a woman who lives with her two photosensitive children on her darkened old family estate in the Channel Islands becomes convinced that the home is haunted."
331,"As homicide detective Thomas Craven investigates the murder of his activist daughter, he uncovers a corporate cover-up and government conspiracy that attracts an agent tasked with cleaning up the evidence."
332,"A single mom named Gabbie hires a tour guide, a psychic, a priest and a historian to help exorcise her newly bought mansion after discovering it is inhabited by ghosts."
333,An exiled priest tries to escape his demons while living in a remote village in Spain.
334,"A kindly nurse tries to unlock the secrets of a coma patient's injury - and discovers the bitter rivalry, infidelity, betrayal and murder behind them."
335,"In 1977 New York City, a troubled young Jewish man bent on revenge is taken in by a secret group of Nazi hunters fighting a clandestine war against a cell of high-ranking Nazi officials in hiding who work to create the Fourth Reich."
336,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more."
337,Tony and Emily Hughes' vacation turns into a nightmare when their 5-year-old son Oliver disappears from a large celebrating crowd in Northern France.
338,A man diagnosed with Alzheimer's decides to punish criminals.
339,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
340,"Detective Charlie Hudson teams up with what he calls his ""highly trained law enforcement animal"" German Shepherd dog named Rex who he prefers to team up with because he doesn't talk his ear off."
341,An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.
342,An exceptionally-adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss--the biggest opportunity of his career to date.
343,"After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on."
344,"When a renowned private investigator is murdered, his protege takes on the case. As her investigation unfolds, she is forced into a dangerous alliance with his killer to uncover the town's grisly secrets and bring justice to its victims."
345,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case."
346,Four Latina maids with ambition and dreams of their own work for the rich and famous in Beverly Hills.
347,"A haunting portrait of Lucy, a young university student drawn into a mysterious hidden world of unspoken desires."
348,"A young maiden is kidnapped and sold into servitude at the emperor's palace, where she secretly employs her pharmacist skills with the help of the head eunuch to unravel medical mysteries in the inner court."
349,"Set in the fictional East Coast suburb Pine Valley, this show is the decades-old, risk-taking soap that centers around Erica Kane and her long line of husbands."
350,"A post apocalyptic saga spanning multiple timelines, telling the stories of survivors of a devastating flu as they attempt to rebuild and reimagine the world anew while holding on to the best of what's been lost."
351,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
352,Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.
353,A young woman is followed by an unknown supernatural force after a sexual encounter.
354,"A modern twist to a classical ""whodunnit"" tale, when the life of a wealthy New York therapist turns upside down after she and her family get involved with a murder case."
355,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child."
356,A Philadelphia couple are in mourning after an unspeakable tragedy creates a rift in their marriage and opens a door for a mysterious force to enter their home.
357,A series of eerie events thrusts an unlikely trio onto the trail of a nefarious government conspiracy in this pulpy mystery caper.
358,Tells the story of a psychopathic killer who drives a stolen Mercedes into a crowd and a recently retired detective who tries to bring him down.
359,"When an Edinburgh schoolgirl is abducted, DI Ray Lennox investigates her disappearance whilst confronting his own past trauma."
360,Nine stressed city dwellers visit a boutique health-and-wellness resort that promises healing and transformation. The resort's director is a woman on a mission to reinvigorate their tired minds and bodies.
361,"The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro."
362,"About Cal Lightman, the world's leading deception expert who studies facial expressions and involuntary body language to expose the truth behind the lies."
363,Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.
364,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply."
365,"Ten years after faking his death in Miami and moving to Upstate New York under an assumed name, Dexter gets an unexpected visit from the son he abandoned."
366,"A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly."
367,A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.
368,A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.
369,"When a young man goes missing soon after his friend dies, life in a tight-knit, affluent Warsaw suburb slowly unravels, exposing secrets and lies."
370,"After an au pair’s tragic death, Henry hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose."
371,"An invisible and mysterious force field descends upon the small town of Chester's Mill, Maine, USA, trapping residents inside, cut off from the rest of civilization. The trapped townspeople must discover the secrets and purpose of the ""dome"" or ""sphere"" and its origins, while coming to learn more than they ever knew about each other and animals too."
372,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
373,A family's serene beach vacation turns to chaos when their doppelgängers appear and begin to terrorize them.
374,"After crash-landing on an alien planet, the Robinson family fight against all odds to survive and escape, but they're surrounded by hidden dangers."
375,"Deputy Police Chief Brenda Johnson runs the Priority Homicide Division of the LAPD with an unorthodox style. Her innate ability to read people and obtain confessions helps her and her team solve the city's toughest, most sensitive cases."
376,"Dr. Kenzo Tenma, an elite neurosurgeon, finds his life in utter turmoil after following his conscience to operate on a small boy named Johan."
377,Jane Doe is found in Times Square with no memory and mysterious tattoos on her body.
378,"The cases of Harmon Rabb, former Navy fighter pilot, and his fellow lawyers of the U.S. Navy's Judge Advocate General's office."
379,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
380,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
381,Multinational immigrants traveling from the old continent to the new encounter a nightmarish riddle aboard a second ship adrift on the open sea.
382,"In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered."
383,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order."
384,A woman lives for absolute revenge against her childhood bullies who destroyed her life.
385,"Special Agent Simone Clark, the oldest rookie in the FBI Academy, is assigned to support the LA field office."
386,"When Casey Connor, Herrington High School's newspaper photographer, witnesses the murder of a nurse and sees her alive again, he decides to investigate the bizarre happenings."
387,"When a family moves to a country home, the young girls experience strange happenings that have a link to an occult event years past."
388,"Jake Epping, a teacher, gets a chance to travel back in time to avert the death of John F. Kennedy. However, history's aversion to alteration and his love for the era and a woman endanger him."
389,"The investigations of Sister Boniface of St Vincent's Convent - nun, moped rider, wine maker and part-time forensic scientist."
390,The quirky cases of a former model and a smart aleck detective who manage a private detective agency.
391,"Hundreds of years from now, surviving humans discover how to send consciousness back through time, into people of the 21st century, while attempting to change the path of humanity."
392,A mysterious woman's escape from her harrowing captivity points investigators toward the dark truth behind an unsolved disappearance 13 years earlier.
393,"Stuck in a time loop, two wedding guests develop a budding romance while living the same day over and over again."
394,"Set in contemporary France, this Anglo-French reimagining of H. G. Wells' classic in the style of Walking Dead follows pockets of survivors forced to team up after an apocalyptic extra-terrestrial strike."
395,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
396,"Reeves will reprise his role as supernatural exorcist and demonologist John Constantine. Who, in the original is dying, but sticks around to save his soul by keeping demons in hell from breaching earth."
397,"1934. Miranda Green and five other strangers, are invited to the remote island mansion of billionaire Lewis Findley. As the weekend progresses the clues about why they have been invited begin to unfold along with a sinister mystery."
398,A series of events tests the beliefs of a small isolated countryside village.
399,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
400,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep."
401,"Three retired police officers are drafted in to solve cold cases, with a touch of comedy and drama"
402,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory."
403,"Drama series following Lana Washington, an experienced bomb disposal officer working for the Metropolitan Police."
404,A man seeks out his exact look-alike after spotting him in a movie.
405,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine."
406,A crew of high-tech crooks attempt to steal from wealthy criminals and corrupt businessmen.
407,"Post-WWII Germany: Nearly a decade after his affair with an older woman came to a mysterious end, law student Michael Berg re-encounters his former lover as she defends herself in a war-crime trial."
408,"When ten people wake up on a treacherous island with no memory of who they are and how they got there, they set off on a trek to try to get back home, only to discover the world is not as it seems."
409,"After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets."
410,A devout detective's faith is tested as he investigates a brutal murder seemingly connected to an esteemed Utah family's spiral into LDS fundamentalism and their distrust in the government.
411,"A bold girl discovers a bizarre, threatening, and mysterious new world beyond her front door after she escapes her father's protective and paranoid control."
412,"A woman framed for her husband's murder suspects he is still alive; as she has already been tried for the crime, she can't be re-prosecuted if she finds and kills him."
413,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city."
414,A husband and wife who recently lost their baby adopt a 9-year-old girl who is not nearly as innocent as she appears.
415,"The cases and adventures of the police forces in and around Sparta, Mississippi."
416,"Decades after Bride Covey disappears in the ocean under mysterious circumstances, a flash drive will change Eleanor Bennett's life forever."
417,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City."
418,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
419,"When an ex-cop returns to his home state of Florida to find a mobster's runaway girlfriend, what should've been a quick gig turns into a wild odyssey."
420,"A man living in the 23rd Century works at a remote ""lighthouse"" in space that serves as a beacon to help passing ships."
421,"Following Chief Inspector Armand Gamache as he investigates cases beneath the idyllic surface of the Quebec village, Three Pines, finding long-buried secrets and facing a few ghosts of his own."
422,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.
423,"A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill."
424,"When people in Littlehampton--including conservative local Edith--begin to receive letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting that something is amiss, the town's women investigate."
425,"Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone."
426,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death."
427,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret."
428,Realtor Luke Roman and an elite team of specialists handle the cases that no one else can: haunted and possessed houses that literally scare would-be buyers away.
429,"Bizarre nightmares unfold in eight tales of terror in a visually stunning, spine-tingling horror collection curated by Guillermo del Toro."
430,"Working for the F.B.I., a mathematician uses equations to help solve various crimes."
431,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
432,A historian races to find the legendary Templar Treasure before a team of mercenaries.
433,Businessman Greville Wynne is asked by a Russian source to try to help put an end to the Cuban Missile Crisis.
434,"Young Angus ""Mac"" MacGyver works for a clandestine organization within the U.S. government, relying on his unconventional problem-solving skills to save lives."
435,"While struggling on a solo backpacking trip in Thailand, social media influencer Madison meets CW, who travels with ease and shows her a more uninhibited way of living, but CW's interest in her takes a darker turn."
436,"Kamala, a superhero fan with an imagination--particularly when it comes to Captain Marvel--feels like she doesn't fit in at school and sometimes even at home, that is until she gets superpowers like the heroes she admires."
437,"Witty, enigmatic DI Annika Strandhed heads up the Marine Homicide Unit, tasked with solving murders in and around the Scottish waters."
438,"A mystery series created by author Harlan Coben. Jesse, a five-year-old boy, goes missing. Twenty years later, his DNA shows up at a crime scene."
439,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.
440,A cynical young woman in New York City keeps dying and returning to the party that's being thrown in her honor on that same evening. She tries to find a way out of this strange time loop.
441,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.
442,"When Enola Holmes (Sherlock's teen sister) discovers her mother is missing, she endeavours to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy."
443,Plot under wraps.
444,"Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns into chaos."
445,A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.
446,A family looks to prevent evil spirits from trapping their comatose child in a realm called The Further.
447,"When a police officer is murdered and set on fire, all eyes focus on two other agents; his girlfriend and her lover. Inspired by true events."
448,"Anastasia (Dakota Johnson) and Christian (Jamie Dornan) get married, but Jack Hyde (Eric Johnson) continues to threaten their relationship."
449,"Chief Inspector Morse has an ear for Western classical music, a taste for beer, and a nose for crime. He and Detective Sergeant Robert Lewis solve intriguing cases in and around the Oxford area."
450,"The investigations of Hawaii Five-0, an elite branch of the Hawaii State Police answerable only to the governor and headed by stalwart Steve McGarrett."
451,"John works with the PreCrime police which stop crimes before they take place, with the help of three 'PreCogs' who can foresee crimes. Events ensue when John finds himself framed for a future murder."
452,"A talented P.I. agrees to work as the in-house investigator for his mother, who is reeling from the recent dissolution of her marriage."
453,The Lamberts must go deeper into The Further than ever before to put their demons to rest once and for all.
454,The plot is unknown at this time.
455,"A controversial true crime writer finds a box of super 8 home movies in his new home, revealing that the murder case he is currently researching could be the work of an unknown serial killer whose legacy dates back to the 1960s."
456,"As her 16th birthday nears, Sabrina Spellman must reconcile her dual nature as a half-witch, half-mortal while fighting the evil forces that threaten her, her family, and the daylight world humans inhabit."
457,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods."
458,"A malevolent being known as The Jester terrorizes the inhabitants of a small town on Halloween night, including two estranged sisters who must come together to find a way to defeat this evil entity."
459,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
460,"After a supernatural event at his church, a preacher enlists the help of a vampire and his ex to find God."
461,"Stranded at a desolate Nevada motel during a nasty rain storm, ten strangers become acquainted with each other when they realize that they're being killed off one by one."
462,"Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her."
463,"Still reeling from the tragic death of their mother, a teenage girl and her younger sister find themselves plagued by a sadistic presence in their house and struggle to get their grieving father to pay attention before it's too late."
464,Ecological thriller about the delicate interconnectedness between mankind and Earth.
465,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.
466,"During an experiment into time travel, a scientist finds himself trapped in the past, ""leaping"" into the lives of different people, sorting out their problems and changing history in hopes of getting back to his own life in the present."
467,A sexual consent scandal amongst British privileged elite and the women caught up in its wake.
468,"Many in the coastal town of Haven, Maine have a dormant curse or ""trouble"" that could trigger at any time for any reason. FBI agent Audrey Parker, the sheriff and the town's black sheep must deal with the troubles' deadly effects."
469,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
470,Police in the Morecambe Bay area in Lancashire investigate missing persons and suspicious deaths.
471,"Tells the story of Michael Peterson, a crime novelist accused of killing his wife Kathleen after she is found dead at the bottom of a staircase in their home, and the 16-year judicial battle that followed."
472,An enigmatic figure who uses her extensive skills to help those with nowhere else to turn.
473,"DI Humphrey Goodman takes up post in Devon. But with a high crime rate, maybe things will be louder than expected."
474,"Follows a group of police officers on the front line wondering what they did to end up where they are now, on the ugly side of Manchester."
475,James Bond descends into mystery as he tries to stop a mysterious organisation from eliminating a country's most valuable resource.
476,"Haunting of the Queen Mary explores the mysterious and violent events surrounding one family's voyage on Halloween night in 1938, and their interwoven destiny with another family onboard the infamous ocean liner present day."
477,Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.
478,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
479,Suburban mom Allison DuBois attempts to balance family life with solving mysteries using her special gift. The dead send her visions of their deaths or other crimes while she sleeps.
480,An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.
481,Two spies are recruited by an intelligence agency. They pose as a married couple Mr. and Mrs. Smith when they are on their missions.
482,"As WWII rages, DCS Foyle fights his own war on the home-front; investigating crime on the south coast of England. Later series, see the retired detective working as an MI5 agent in the aftermath of the war."
483,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.
484,"On the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity."
485,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from."
486,Focuses on humans dealing with the incoming invasion of a highly-advanced alien civilization called Three-Body.
487,"In Warsaw, a prosecutor's hopes rise after a body is found and linked to his sister's disappearance 25 years earlier."
488,"Obsessed with vengeance, a man sets out to find out why he was kidnapped and locked into solitary confinement for twenty years without reason."
489,"During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town."
490,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory."
491,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
492,"After a group of people, who meet online, discover a bizarre graphic novel which seems to hold mysterious answers, they find themselves being tracked down by a merciless organization known merely as 'The Network'."
493,Plot under wraps.
494,A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominantly female partners.
495,Brilliant but disgraced detective John Luther breaks out of prison to hunt down a sadistic serial killer who is terrorising London.
496,A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.
497,"Sam, a disenchanted young man, finds a mysterious woman swimming in his apartment's pool one night. The next morning, she disappears. Sam sets off across LA to find her, and along the way he uncovers a conspiracy far more bizarre."
498,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
499,"Arnold, whose lifestyle on a battered houseboat in Chelsea's Cheyne Walk contrasts sharply with the affluent elite whose crimes he helps solve alongside partner D.C. Priya Shamsie."
500,"A policeman and his doctor wife have some marriage problems and the son blames the mother. For his job, the policeman investigates a case of a missing boy. The possible kidnapping looks like some cases from a few years ago."
501,"Candy Montgomery is a 1980s housewife and mother who did everything right. When the pressure of conformity builds within, her actions scream for just a bit of freedom--until someone tells her to shush--with deadly results."
